,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-213,1990,16.7,756,956,79.1,12718,5952,386,437,88.3,287,356,80.6,69,128,53.9,1,0.8,+0.2,11,55,24,4,92,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-179,1997,11.3,147,215,68.4,2046,327,90,116,77.6,39,63,61.9,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24-260,1996,24.1,355,513,69.2,5802,1285,180,242,74.4,114,151,75.5,41,56,73.2,4,4.6,-0.6,26,22,18,1,48,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-187,1997,26.0,1212,1403,86.4,28717,9522,229,256,89.5,692,740,93.5,282,386,73.1,0,0.3,-0.3,4,60,3,0,56,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-086,1987,3.0,76,99,76.8,2016,1127,18,18,100.0,35,36,97.2,21,43,48.8,0,0.0,0.0,0,0,0,0,0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-301,1988,3.5,72,84,85.7,878,113,43,47,91.5,17,20,85.0,3,3,100.0,0,0.6,-0.6,3,5,1,0,4,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-173,1996,25.0,1170,1500,78.0,22331,9290,477,526,90.7,525,613,85.6,152,312,48.7,1,1.3,-0.3,14,90,14,9,91,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-297,2001,7.8,302,362,83.4,4750,1395,160,174,92.0,123,144,85.4,15,27,55.6,1,0.7,+0.3,6,13,6,3,18,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-141,1993,23.3,572,786,72.8,12430,5292,166,195,85.1,299,369,81.0,106,212,50.0,0,0.1,-0.1,2,50,3,0,49,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-040,1995,5.2,429,461,93.1,7834,2160,178,186,95.7,213,225,94.7,36,44,81.8,0,0.0,0.0,1,36,0,0,23,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-132,1989,13.9,423,615,68.8,7545,2985,210,255,82.4,143,179,79.9,53,124,42.7,4,3.3,+0.7,24,37,27,11,59,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-353,1991,12.5,931,1055,88.2,19507,4810,323,358,90.2,425,459,92.6,170,212,80.2,0,1.1,-1.1,17,115,11,1,107,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-028,1989,17.9,776,940,82.6,18277,4922,183,198,92.4,400,432,92.6,187,293,63.8,0,0.2,-0.2,3,52,4,1,36,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-040,1995,0.2,7,11,63.6,126,51,2,2,100.0,5,5,100.0,0,4,0.0,0,0.0,0.0,0,0,0,0,0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-174,1998,24.7,1701,2253,75.5,36403,14574,595,675,88.1,773,927,83.4,319,585,54.5,3,4.2,-1.2,42,168,77,18,227,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-046,1992,19.0,970,1194,81.2,15868,5376,499,555,89.9,399,459,86.9,62,131,47.3,0,1.9,-1.9,20,69,23,10,75,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-179,1992,24.0,693,810,85.6,18255,9534,107,107,100.0,373,379,98.4,210,320,65.6,0,0.0,0.0,0,5,0,0,1,Matches
18,Allan\Allan,br BRA,MF,Everton,30-081,1991,14.8,597,693,86.1,11451,2576,244,267,91.4,245,281,87.2,95,121,78.5,0,0.3,-0.3,7,52,8,0,42,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-353,1996,2.6,111,138,80.4,1916,417,50,58,86.2,47,53,88.7,12,15,80.0,0,0.2,-0.2,4,8,3,0,11,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-048,1994,18.4,509,634,80.3,8728,1869,251,284,88.4,191,226,84.5,50,82,61.0,1,2.2,-1.2,23,37,22,7,44,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-092,1990,7.8,386,468,82.5,6500,2380,194,217,89.4,161,183,88.0,28,51,54.9,0,1.1,-1.1,10,13,6,2,38,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-203,1998,8.2,308,351,87.7,5508,1075,144,162,88.9,122,131,93.1,39,47,83.0,0,0.4,-0.4,8,23,6,0,27,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-099,1994,6.5,324,387,83.7,6134,1823,109,118,92.4,173,200,86.5,36,52,69.2,0,0.0,0.0,0,17,1,0,21,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-197,2000,20.8,739,926,79.8,15058,4668,260,304,85.5,345,401,86.0,122,192,63.5,0,0.9,-0.9,10,63,15,2,74,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-303,1996,23.7,1157,1389,83.3,28619,8549,231,260,88.8,624,683,91.4,293,422,69.4,1,0.5,+0.5,8,97,9,1,83,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-144,2002,0.0,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-349,1993,0.0,4,6,66.7,61,28,2,2,100.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,2,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,31-002,1990,16.8,225,350,64.3,3543,625,128,182,70.3,63,98,64.3,22,36,61.1,5,2.0,+3.0,18,14,9,2,18,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-031,1993,29.0,560,778,72.0,15708,9750,163,163,100.0,186,187,99.5,200,417,48.0,0,0.0,0.0,0,4,0,0,0,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,29-000,1992,22.0,688,876,78.5,11101,3244,372,438,84.9,246,289,85.1,57,85,67.1,4,2.0,+2.0,26,64,26,5,76,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-178,1994,4.0,106,138,76.8,3073,1637,24,25,96.0,43,43,100.0,39,70,55.7,0,0.0,0.0,0,1,0,0,0,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-285,1989,21.5,431,576,74.8,6573,1281,242,299,80.9,149,196,76.0,25,46,54.3,1,1.6,-0.6,16,14,25,9,44,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-096,1992,12.8,511,656,77.9,8108,3387,273,304,89.8,193,258,74.8,34,66,51.5,1,1.5,-0.5,9,14,17,6,41,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-268,1989,1.5,25,34,73.5,374,134,12,14,85.7,12,16,75.0,1,2,50.0,0,0.0,0.0,0,0,0,0,4,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-200,1991,18.5,395,492,80.3,5536,1004,247,283,87.3,112,142,78.9,17,30,56.7,3,0.6,+2.4,10,11,12,2,31,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-217,1991,28.8,1677,2116,79.3,34163,13514,602,683,88.1,800,919,87.1,263,453,58.1,0,2.2,-2.2,22,145,28,10,168,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-214,1989,17.6,1293,1492,86.7,23213,8317,513,556,92.3,668,730,91.5,98,163,60.1,1,1.7,-0.7,17,99,14,3,84,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-352,1994,7.1,343,382,89.8,7151,2276,97,105,92.4,196,211,92.9,49,64,76.6,0,0.0,0.0,0,24,0,0,23,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-219,1991,12.0,319,420,76.0,7819,3040,62,71,87.3,173,198,87.4,80,142,56.3,0,0.0,0.0,0,29,0,0,27,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-021,1993,23.5,661,858,77.0,10080,3356,385,422,91.2,224,288,77.8,35,90,38.9,2,1.3,+0.7,12,30,23,6,45,Matches
