Statistic,Per 90,Percentile
Goals,0.21,43
Assists,0.19,49
Non-Penalty Goals,0.19,41
Penalty Kicks Made,0.02,68
Penalty Kicks Attempted,0.02,64
Yellow Cards,0.14,39
Red Cards,0.00,56
,,
xG,0.21,47
npxG,0.20,45
xA,0.26,85
npxG+xA,0.45,71
Goals,0.21,43
Shots Total,2.28,64
Shots on target,0.74,52
Shots on target %,32.7%,33
Goals/Shot,0.08,26
Goals/Shot on target,0.25,30
Average Shot Distance,19.80,26
Shots from free kicks,0.19,78
Penalty Kicks Made,0.02,68
Penalty Kicks Attempted,0.02,64
,,
xG,0.21,47
npxG,0.20,45
npxG/Sh,0.09,34
Goals - xG,0.00,40
Non-Penalty Goals - npxG,-0.01,38
Passes Completed,44.32,94
Passes Attempted,53.90,91
Pass Completion %,82.2%,90
Total Passing Distance,773.28,93
Progressive Passing Distance,209.09,89
,,
Passes Completed (Short),22.26,94
Passes Attempted (Short),24.70,94
Pass Completion % (Short),90.1%,90
,,
Passes Completed (Medium),15.48,91
Passes Attempted (Medium),18.01,89
Pass Completion % (Medium),86.0%,89
,,
Passes Completed (Long),5.36,91
Passes Attempted (Long),8.29,81
Pass Completion % (Long),64.7%,84
Assists,0.19,49
xA,0.26,85
Key Passes,2.48,94
Passes into Final Third,4.36,95
Passes into Penalty Area,1.65,74
Crosses into Penalty Area,0.21,37
Progressive Passes,5.15,89
Passes Attempted,53.90,91
,,
Live-ball passes,48.49,91
Dead-ball passes,5.41,86
Passes from Free Kicks,0.95,67
Through Balls,0.26,80
Passes Under Pressure,6.64,44
Switches,2.37,85
Crosses,1.81,43
Corner Kicks,3.39,94
,,
Inswinging Corner Kicks,1.04,81
Outswinging Corner Kicks,1.60,96
Straight Corner Kicks,0.16,81
,,
Ground passes,40.81,94
Low Passes,5.62,61
High Passes,7.47,69
,,
Passes Attempted (Left),5.90,45
Passes Attempted (Right),45.36,94
Passes Attempted (Head),1.37,74
Throw-Ins taken,0.46,56
Passes Attempted (Other),0.28,65
,,
Passes Completed,44.32,94
Passes Offside,0.30,10
Passes Out of Bounds,0.63,53
Passes Intercepted,1.23,39
Passes Blocked,1.83,26
Shot-Creating Actions,4.50,88
,,
SCA (PassLive),2.53,73
SCA (PassDead),1.21,98
SCA (Drib),0.28,57
SCA (Sh),0.21,63
SCA (Fld),0.21,55
SCA (Def),0.07,64
,,
Goal-Creating Actions,0.42,46
,,
GCA (PassLive),0.19,28
GCA (PassDead),0.12,93
GCA (Drib),0.02,41
GCA (Sh),0.05,66
GCA (Fld),0.02,43
GCA (Def),0.02,71
Tackles,2.25,96
Tackles Won,1.28,89
Tackles (Def 3rd),0.77,86
Tackles (Mid 3rd),1.04,96
Tackles (Att 3rd),0.44,86
,,
Dribblers Tackled,0.63,86
Dribbles Contested,2.07,81
% of dribblers tackled,30.3%,68
Dribbled Past,1.44,25
,,
Pressures,21.54,95
Successful Pressures,6.34,96
Successful Pressure %,29.4%,73
Pressures (Def 3rd),4.29,75
Pressures (Mid 3rd),10.75,94
Pressures (Att 3rd),6.50,78
,,
Blocks,1.37,68
Shots Blocked,0.05,33
Shots Saved,0.00,49
Passes Blocked,1.32,70
,,
Interceptions,0.98,77
Tkl+Int,3.23,94
Clearances,0.37,35
Errors,0.00,57
Touches,66.21,92
Touches (Def Pen),0.81,53
Touches (Def 3rd),7.29,68
Touches (Mid 3rd),32.10,90
Touches (Att 3rd),31.90,85
Touches (Att Pen),4.18,59
Touches (Live-Ball),60.87,91
,,
Dribbles Completed,1.49,41
Dribbles Attempted,2.41,30
Successful Dribble %,61.5%,75
Players Dribbled Past,1.56,36
Nutmegs,0.23,82
,,
Carries,46.50,86
Total Carrying Distance,251.31,84
Progressive Carrying Distance,139.91,78
Progressive Carries,7.57,76
Carries into Final Third,2.81,88
Carries into Penalty Area,1.21,72
Miscontrols,1.56,80
Dispossessed,1.79,56
,,
Pass Targets,58.34,87
Passes Received,47.77,88
Passes Received %,81.9%,82
Progressive Passes Rec,6.89,60
Yellow Cards,0.14,39
Red Cards,0.00,56
Second Yellow Card,0.00,52
Fouls Committed,1.86,14
Fouls Drawn,1.56,35
Offsides,0.14,75
Crosses,1.81,43
,,
Interceptions,0.98,77
Tackles Won,1.28,89
Penalty Kicks Won,0.05,77
Penalty Kicks Conceded,0.00,56
Own Goals,0.00,51
Ball Recoveries,6.87,72
,,
Aerials won,0.65,52
Aerials lost,1.53,40
% of Aerials Won,29.8%,37
