Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-11,16:30 (10:30),Premier League,Matchweek 1,Sun,Away,L,0,4,Manchester Utd,0.8,2.3,54,73620,César Azpilicueta,4-2-3-1,Anthony Taylor,Match Report,
2019-08-14,22:00 (14:00),Super Cup,UEFA Super Cup,Wed,Away,L,2 (4),2 (5),eng Liverpool,,,47,38434,César Azpilicueta,4-3-3,Stéphanie Frappart,Match Report,Liverpool won on penalty kicks following extra time
2019-08-18,16:30 (10:30),Premier League,Matchweek 2,Sun,Home,D,1,1,Leicester City,1.4,0.8,50,40629,César Azpilicueta,4-2-3-1,Oliver Langford,Match Report,
2019-08-24,12:30 (06:30),Premier League,Matchweek 3,Sat,Away,W,3,2,Norwich City,2.1,1.2,54,27032,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2019-08-31,15:00 (09:00),Premier League,Matchweek 4,Sat,Home,D,2,2,Sheffield Utd,1.7,1.1,63,40560,César Azpilicueta,4-3-3,Stuart Attwell,Match Report,
2019-09-14,15:00 (09:00),Premier League,Matchweek 5,Sat,Away,W,5,2,Wolves,1.9,1.6,54,31534,César Azpilicueta,3-4-3,Graham Scott,Match Report,
2019-09-17,20:00 (14:00),Champions Lg,Group stage,Tue,Home,L,0,1,es Valencia,2.3,0.4,59,39469,César Azpilicueta,3-4-3,Cüneyt Çakιr,Match Report,
2019-09-22,16:30 (10:30),Premier League,Matchweek 6,Sun,Home,L,1,2,Liverpool,1.2,0.9,55,40638,César Azpilicueta,4-3-3,Michael Oliver,Match Report,
2019-09-25,19:45 (13:45),EFL Cup,Third round,Wed,Home,W,7,1,Grimsby Town,,,72,39674,Pedro,4-2-3-1,Keith Stroud,Match Report,
2019-09-28,15:00 (09:00),Premier League,Matchweek 7,Sat,Home,W,2,0,Brighton,3.2,0.5,53,40683,César Azpilicueta,4-3-3,Chris Kavanagh,Match Report,
2019-10-02,21:00 (14:00),Champions Lg,Group stage,Wed,Away,W,2,1,fr Lille,1.1,0.5,63,48523,César Azpilicueta,3-4-3,Aliaksei Kulbakou,Match Report,
2019-10-06,14:00 (08:00),Premier League,Matchweek 8,Sun,Away,W,4,1,Southampton,1.9,1.0,58,31473,César Azpilicueta,4-2-3-1,Paul Tierney,Match Report,
2019-10-19,15:00 (09:00),Premier League,Matchweek 9,Sat,Home,W,1,0,Newcastle Utd,1.9,0.3,71,40513,César Azpilicueta,4-3-3,Andre Marriner,Match Report,
2019-10-23,18:55 (11:55),Champions Lg,Group stage,Wed,Away,W,1,0,nl Ajax,1.8,0.5,49,52482,César Azpilicueta,4-3-3,Ovidiu Hațegan,Match Report,
2019-10-26,17:30 (11:30),Premier League,Matchweek 10,Sat,Away,W,4,2,Burnley,1.0,2.2,63,20975,César Azpilicueta,4-2-3-1,Michael Oliver,Match Report,
2019-10-30,20:05 (15:05),EFL Cup,Fourth round,Wed,Home,L,1,2,Manchester Utd,,,65,38645,Jorginho,4-3-3,Paul Tierney,Match Report,
2019-11-02,17:30 (12:30),Premier League,Matchweek 11,Sat,Away,W,2,1,Watford,2.6,1.4,66,21011,César Azpilicueta,4-2-3-1,Anthony Taylor,Match Report,
2019-11-05,20:00 (14:00),Champions Lg,Group stage,Tue,Home,D,4,4,nl Ajax,3.7,0.8,53,39132,César Azpilicueta,4-3-3,Gianluca Rocchi,Match Report,
2019-11-09,12:30 (06:30),Premier League,Matchweek 12,Sat,Home,W,2,0,Crystal Palace,2.5,0.2,61,40525,Willian,4-2-3-1,Mike Dean,Match Report,
2019-11-23,17:30 (11:30),Premier League,Matchweek 13,Sat,Away,L,1,2,Manchester City,1.1,1.1,53,54486,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2019-11-27,18:55 (11:55),Champions Lg,Group stage,Wed,Away,D,2,2,es Valencia,2.5,2.8,49,43486,César Azpilicueta,4-3-3,Felix Zwayer,Match Report,
2019-11-30,15:00 (09:00),Premier League,Matchweek 14,Sat,Home,L,0,1,West Ham,2.0,0.8,65,40595,Jorginho,4-2-3-1,Jonathan Moss,Match Report,
2019-12-04,19:30 (13:30),Premier League,Matchweek 15,Wed,Home,W,2,1,Aston Villa,2.1,0.7,64,40628,César Azpilicueta,4-2-3-1,Chris Kavanagh,Match Report,
2019-12-07,12:30 (06:30),Premier League,Matchweek 16,Sat,Away,L,1,3,Everton,0.9,1.7,71,39114,César Azpilicueta,4-2-3-1,Craig Pawson,Match Report,
2019-12-10,20:00 (14:00),Champions Lg,Group stage,Tue,Home,W,2,1,fr Lille,2.6,0.4,64,40016,César Azpilicueta,4-3-3,Anastasios Sidiropoulos,Match Report,
